iso3,country,concord_label,who_region,wb_income_2014,brain_adult_5yr_pct,glioblastoma_5yr_pct,glioblastoma_flag,diffuse_anap_astro_5yr,oligodendroglioma_5yr,concord_flag_less_reliable,concord_flag_not_age_std,high_quality_subset,oop_pct_che,gov_pct_che,che_pct_gdp,che_pc_ppp_usd,nurses_per_1000,physicians_per_1000,gdp_pc_ppp_usd,log_gdp_pc_ppp_usd,life_expectancy,radiotherapy_units_per_million,radiotherapy_year,oral_morphine_available_2013,radiotherapy_meets_iaea,morphine_consumption_mg_per_capita,right_to_health_in_constitution,icescr_ratified
JPN,Japan,Japan (16 registries),WPR,HIC,46.3,11.2,§,29.2,62.3,1,0,0,13.34144187,83.46486663499999,10.2242214675,3797.6021069626177,10.515,2.2475,37139.61179582092,10.52243938239706,82.96548780487805,7.17299,2013,1,1,1.55,1,1
KOR,South Korea,Korea*,WPR,HIC,33.7,13.0,,24.6,55.1,0,0,1,38.6667118075,54.71215248,5.9307562125,2072.5686261028727,4.920999999999999,2.08825,34492.59542342225,10.448499954576072,80.69390243902443,3.0043,2013,1,1,2.29,1,1
KWT,Kuwait,Kuwait*,EMR,HIC,31.8,27.1,,,47.2,0,0,1,14.4468181125,84.0259037025,2.45821047,1921.086569998865,6.4735,2.494,78280.78430069656,11.268057440630702,78.2288231707317,1.18745,2013,1,0,0.77,1,1
LTU,Lithuania,Lithuania*,EUR,HIC,23.4,3.6,§,58.8,48.4,1,0,0,30.10851717,68.40696144,6.4772587999999995,1498.1115769287876,7.80775,4.1345,22110.4213737704,10.003804331732775,73.65243902439028,3.64609,2013,1,1,1.78,1,1
LVA,Latvia,Latvia*,EUR,HIC,26.1,10.5,,47.6,65.7,0,0,1,36.944327355,61.0110473625,5.841646194999999,1131.352723243635,5.1205,3.14375,18485.984701000998,9.82476814022517,73.7048780487805,5.36502,2013,1,1,2.69,1,1
MAR,Morocco,Morocco (Casablanca),EMR,LMC,,,,,,0,0,0,53.5664730075,33.734542845,5.3601000325,392.1959248636125,0.97,0.631,7243.1314697265625,8.887808915311355,71.46875,0.39384,2013,0,0,0.10,1,1
MLI,Mali,Mali (Bamako),AFR,LIC,,,,,,0,0,0,46.465365410000004,15.240566967500001,4.102446855,69.86768604083827,0.37399999999999994,0.10525000000000001,2026.83418639959,7.614230340639094,56.526999999999994,0.06535,2013,1,0,0.00,1,1
MLT,Malta,Malta*,EUR,HIC,28.0,6.3,,18.1,,0,0,1,32.125301359999995,65.5539608,8.192287205,2515.965786150995,6.99625,3.19775,30547.355089044802,10.327033384388438,81.1591463414634,4.66196,2013,1,1,9.02,1,1
MNG,Mongolia,Mongolia*,WPR,LMC,,,,,,0,0,1,32.166964054999994,60.371516227499995,3.8182245499999996,359.9943294396912,3.7545,2.967,9246.88823834633,9.132042367243793,69.30329268292685,0.70446,2013,1,0,0.13,0,1
MTQ,Martinique,Martinique*,AMR,HIC,35.8,6.4,,,,0,0,1,,,,,,,,,,,,,,28.00,1,1
MUS,Mauritius,Mauritius*,AFR,UMC,43.7,31.5,,,,0,1,0,52.545479772499995,42.879652975,4.4025836,732.4800813607392,2.90725,1.37425,17124.458271053598,9.748263028822977,73.52865853658537,2.41079,2013,,1,0.42,1,1
