iso3,country,oop_pct_che,oop_pct_che_n_obs,gov_pct_che,gov_pct_che_n_obs,che_pct_gdp,che_pct_gdp_n_obs,che_pc_ppp_usd,che_pc_ppp_usd_n_obs,nurses_per_1000,nurses_per_1000_n_obs,physicians_per_1000,physicians_per_1000_n_obs,gdp_pc_ppp_usd,gdp_pc_ppp_usd_n_obs,life_expectancy,life_expectancy_n_obs,uhc_service_cov_index,uhc_service_cov_index_n_obs
PRT,Portugal,27.4348959925,4,63.647521975000004,4,9.692955495,4,2623.2386248850476,4,6.131,4,4.18625,4,27134.405336703676,4,80.14817073170732,4,,0
QAT,Qatar,13.351547479999999,4,76.9617939025,4,1.8236407074999998,4,2810.5748933316754,4,6.211,1,4.048,1,169102.213042828,4,80.22775,4,,0
ROU,Romania,21.627783774999997,4,77.6709060675,4,4.9618318100000005,4,933.3454106910474,4,5.915000000000001,4,2.5595,4,18911.063017708875,4,74.3359756097561,4,,0
RUS,Russia,34.43749428,4,62.52943992749999,4,4.945863485,4,1168.3837392872474,4,5.5874999999999995,4,4.29575,4,23393.228515625,4,69.79402439024389,4,,0
SGP,Singapore,38.743380544999994,4,38.54521846749999,4,3.33959031,4,2685.7872090090477,4,5.54525,4,1.9015,4,80162.24823176446,4,81.8817073170732,4,,0
SVK,Slovakia,23.231735705,4,71.8852996825,4,7.498278025,4,2000.6698250427573,4,6.23225,4,3.35625,4,26670.3922169434,4,75.89817073170732,4,,0
SVN,Slovenia,12.437908887499999,4,71.4463939675,4,8.7182595725,4,2503.0303225226203,4,8.320500000000001,4,2.52875,4,28678.95972854375,4,79.95975609756097,4,,0
SWE,Sweden,15.189641715,4,83.78132248,4,10.1617631925,4,4545.969028327403,4,11.665,4,3.9265,4,44397.29842166433,4,81.72865853658539,4,,0
THA,Thailand,13.367048262499999,4,75.5576858525,4,3.483606695,4,487.6922360950178,4,2.023,1,0.383,1,13998.07912413455,4,75.46600000000001,4,,0
TUR,Turkiye,16.406449795,4,78.66194725,4,4.622257830000001,4,917.7948369849005,4,2.41625,4,1.7145,4,20099.5178830735,4,75.3775,4,,0
TWN,Taiwan,,0,,0,,0,,0,,0,,0,,0,,0,,0
URY,Uruguay,19.0154089925,4,63.038595202500005,4,7.977644679999999,4,1593.4065116383524,4,,0,,0,19291.175592978572,4,76.73725,4,,0
USA,United States,12.3265285475,4,49.115591050000006,4,16.1023135175,4,8131.603495677829,4,10.977500000000001,4,,0,50918.32319811657,4,78.66646341463417,4,,0
ZAF,South Africa,7.769509792499999,4,51.519033432499995,4,7.9613595,4,1037.9736459522928,4,1.0765000000000002,4,0.7145,4,13034.180107550676,4,60.90325,4,,0
