outcome,indicator,test,p,estimate,n,q_bh_family_wide
oligo,Government health expenditure (% CHE),Spearman,0.11128745460033404,-0.28241978609625673,33,0.5887076073717684
oligo,Current health expenditure (% GDP),Pearson,0.2696388862981575,0.1978855222377947,33,0.6670014555796527
oligo,Current health expenditure (% GDP),Spearman,0.45712590304009937,0.134024064171123,33,0.8176088361419277
oligo,Current health expenditure per capita (PPP USD),Pearson,0.08060825785230209,0.30856933965726785,33,0.5887076073717684
oligo,Current health expenditure per capita (PPP USD),Spearman,0.10909740422558246,0.28409090909090906,33,0.5887076073717684
oligo,Nurses and midwives per 1000 population,Pearson,0.15263140728637414,0.25467572937236826,33,0.5887076073717684
oligo,Nurses and midwives per 1000 population,Spearman,0.35555163444125915,0.1661096256684492,33,0.7265620355973555
oligo,Physicians per 1000 population,Pearson,0.6268336312231685,0.08932862453006568,32,0.9052711701093594
oligo,Physicians per 1000 population,Spearman,0.8048872299009385,0.04545454545454545,32,0.9279834207980179
oligo,GDP per capita (PPP USD),Pearson,0.1878854066080112,0.23141568912733318,34,0.5887076073717684
oligo,GDP per capita (PPP USD),Spearman,0.1859790021849194,0.2323911382734912,34,0.5887076073717684
oligo,Life expectancy at birth (years),Pearson,0.16219354800601418,0.24520305379588306,34,0.5887076073717684
oligo,Life expectancy at birth (years),Spearman,0.3469709562221872,0.16638655462184873,34,0.72478377521968
oligo,Radiotherapy units per million population,Pearson,0.1635952186607305,0.24826086165727818,33,0.5887076073717684
oligo,Radiotherapy units per million population,Spearman,0.1582695572881863,0.25133689839572193,33,0.5887076073717684
oligo,Morphine consumption (mg/capita/year),Pearson,0.13845552131857725,0.2555317665431522,35,0.5887076073717684
oligo,Morphine consumption (mg/capita/year),Spearman,0.1759741409024008,0.2340500040756077,35,0.5887076073717684
oligo,Radiotherapy density meets IAEA threshold,Mann-Whitney,0.9364613880742912,1.5999999999999943,33,0.9623041756163727
oligo,Oral morphine available in public sector (2013),Mann-Whitney,0.7626251390433815,-1.0,32,0.9279834207980179
oligo,Right to health in constitution,Mann-Whitney,0.023191050442310034,-10.749999999999993,35,0.5887076073717684
oligo,ICESCR ratified,Mann-Whitney,,-2.200000000000003,35,
